TYPE,TRACE,A

DATE & TIME,19Jul2013 08:47PM WETDS
INSTRUMENT,86140B,SN US40460656,REV B.04.02
AIR/VACUUM/STP,VACUUM

TRACE,A
START,600.000
STOP,1700.000
HORIZONTAL SCALE,nm
LENGTH (pts),1001
RBW (nm),10.00
VBW (Hz),2545

REFERENCE LEVEL (dBm),0.00
VERTICAL SCALE,dBm
SENSITIVITY (dBm),-10.68

AVERAGING,OFF
MIN,OFF
MAX,OFF
SMOOTHING,OFF
TRACE MATH,OFF
OFFSET (dB),0.000

MARKER,1
MARKER TRACE,A
MARKER X POSITION,1150.000
MARKER AMPLITUDE,-33.617
MARKER UNITS,dBm

INDEX,A
1,-18.305
2,-20.129
3,-18.956
4,-19.944
5,-18.145
6,-21.269
7,-21.608
8,-21.975
9,-22.377
10,-21.344
11,-23.170
12,-21.734
13,-23.119
14,-23.093
15,-23.068
16,-23.043
17,-23.018
18,-22.993
19,-22.969
20,-22.917
21,-22.738
22,-22.565
23,-22.400
24,-22.240
25,-22.086
26,-21.937
27,-21.794
28,-16.564
29,-21.525
30,-20.810
31,-17.656
32,-21.350
33,-21.293
34,-21.237
35,-20.775
36,-21.127
37,-21.072
38,-18.028
39,-20.267
40,-20.864
41,-17.410
42,-19.623
43,-20.641
44,-20.569
45,-20.498
46,-20.428
47,-17.285
48,-20.138
49,-17.982
50,-17.944
51,-18.417
52,-20.114
53,-19.110
54,-17.330
55,-19.247
56,-20.304
57,-20.290
58,-20.274
59,-20.258
60,-20.242
61,-20.227
62,-20.211
63,-20.195
64,-20.180
65,-20.164
66,-17.692
67,-20.088
68,-20.047
69,-20.006
70,-17.391
71,-17.537
72,-16.641
73,-19.846
74,-19.807
75,-17.476
76,-18.875
77,-20.172
78,-19.215
79,-19.775
80,-20.655
81,-20.763
82,-21.010
83,-21.199
84,-19.499
85,-16.567
86,-19.136
87,-21.415
88,-21.931
89,-22.086
90,-19.382
91,-21.206
92,-20.333
93,-20.497
94,-22.615
95,-20.480
96,-22.091
97,-20.539
98,-22.411
99,-22.361
100,-22.312
101,-22.263
102,-20.929
103,-22.613
104,-21.373
105,-22.937
106,-21.900
107,-23.802
108,-24.022
109,-24.935
110,-22.677
111,-25.997
112,-26.215
113,-25.506
114,-26.688
115,-26.945
116,-24.247
117,-27.056
118,-27.823
119,-28.160
120,-28.514
121,-27.949
122,-29.159
123,-29.522
124,-29.917
125,-30.125
126,-30.190
127,-28.117
128,-30.323
129,-27.953
130,-30.181
131,-29.993
132,-29.814
133,-29.641
134,-29.462
135,-29.278
136,-29.102
137,-28.932
138,-26.288
139,-28.721
140,-28.679
141,-28.637
142,-27.538
143,-28.574
144,-26.935
145,-28.589
146,-28.243
147,-27.904
148,-26.340
149,-28.656
150,-28.684
151,-28.711
152,-28.742
153,-27.824
154,-24.655
155,-28.858
156,-28.897
157,-28.928
158,-28.958
159,-26.496
160,-28.011
161,-27.052
162,-27.669
163,-29.107
164,-29.138
165,-29.169
166,-27.899
167,-29.340
168,-29.439
169,-29.540
170,-29.644
171,-29.750
172,-29.859
173,-29.971
174,-30.085
175,-30.197
176,-30.307
177,-30.420
178,-30.535
179,-30.654
180,-30.777
181,-30.903
182,-31.033
183,-30.147
184,-31.275
185,-31.357
186,-31.440
187,-31.525
188,-31.612
189,-31.700
190,-30.382
191,-29.013
192,-31.977
193,-31.633
194,-32.101
195,-32.149
196,-31.016
197,-32.247
198,-32.296
199,-30.601
200,-30.766
201,-32.449
202,-32.507
203,-30.066
204,-31.312
205,-32.726
206,-32.801
207,-32.878
208,-32.956
209,-33.036
210,-33.117
211,-31.211
212,-30.733
213,-31.759
214,-33.424
